feature,importance
V12,62
V16_sq,54
V4,42
V_norm,41
Amt_x_V4,41
V3,41
V1,39
Amt_x_V12,39
V16_x_V11,38
V22,37
V2,37
V14_x_V17,36
V26,35
V21,35
V18,34
V4_x_V17,34
V25,33
V4_x_V11,32
V17_x_V16,31
V24,31
Amt_x_V11,30
V14_x_V11,29
Amt_x_V16,29
V11_sq,29
Amt_x_V14,29
V13,28
Amt_x_V17,28
V10,28
V11,26
V28,26
Amount,25
V7,25
V19,25
V14_sq,24
V15,24
V9,23
V6,22
V8,21
V20,21
V14_x_V4,21
Amt_x_V10,20
V17_sq,20
V4_sq,19
V14_x_V16,19
V4_x_V16,19
V14,17
V16,17
V27,14
Time,13
V17,12
V5,8
Hour,8
V23,7
V17_x_V11,6
Time_sin,5
